artist,title,year,category,bpm,bar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
DJ Shadow,Organ Donor,1997,break,110,10,"k,h",,"k,h",,"sa,h",,h,sa,h,sa,"k,h",,"sa,h",,h,
DJ Shadow,Organ Donor,1997,break,110,11,h,sa,"k,h",,"sa,h",,h,k,h,k,"k,h",,"sa,h",,"sa,h",sa
DJ Shadow,Organ Donor,1997,break,110,12,"k,h",,h,,"sa,h",,h,k,"k,h",sg,"k,h",,"sa,h",,h,sg
DJ Shadow,Organ Donor,1997,break,110,13,"k,h",,h,,"sa,h",,"k,h",sa,h,sa,"k,h",,"sa,h",,h,sg
DJ Shadow,Organ Donor,1997,break,110,14,"k,h",,"k,h",,"sa,h",,h,k,"k,h",sg,"k,h",,"sa,h",,h,sg
DJ Shadow,Organ Donor,1997,break,110,15,"k,h",,"k,h",,"sa,h",,h,kg,"k,h",,"k,h",sa,h,kg,"k,h",sa
DJ Shadow,Organ Donor,1997,break,110,16,"k,h",,"k,h",,"sa,h",,"k,h",,"k,h",sg,"k,h",,"sa,h",,h,k
DJ Shadow,Organ Donor,1997,break,110,17,"k,h",,"k,h",sa,"k,h",,h,k,h,sa,"k,h",,"sa,h",,h,sg
DJ Shadow,Organ Donor,1997,break,110,18,h,sa,"k,h",,h,k,"k,h",s,"k,h",sg,"kg,h",,"sa,h",,h,sg
DJ Shadow,Organ Donor,1997,break,110,19,"sa,h",sa,"k,h",,"sa,h",sa,"k,h",,"sa,h",sa,sa,"k,h",h,sa,"k,h",sa
The Roots,You Got Me,1999,groove,81,1,"k,ha",h,ha,h,"sa,h",h,ha,"k,h",ha,"k,h",ha,h,"sa,h",h,ha,h
The Roots,You Got Me,1999,groove,81,2,"k,ha",h,ha,h,"sa,h",h,ha,h,ha,"k,h","k,ha",h,"sa,h",h,ha,"k,h"
The Roots,You Got Me,1999,groove,81,3,"k,ha",h,ha,h,"sa,h",h,ha,"k,h",ha,"k,h",ha,h,"sa,h",h,ha,h
The Roots,You Got Me,1999,groove,81,4,ha,h,"k,h",h,"sa,h","k,h",ha,h,"k,h",h,"k,h",h,"sa,h","k,h",ha,h
